2056.523926, 494.369019, -507.853027
1952.955811, 473.729706, -635.574951
1827.477661, 445.823212, -713.469849
1700.499268, 419.365417, -744.066467
1555.378052, 402.076263, -773.875732
1408.213379, 399.698181, -802.399963
1239.726929, 413.741638, -872.087830
1083.742065, 419.229706, -927.555359
947.511963, 409.278839, -988.739197
833.098206, 392.768890, -1054.230103
714.440308, 368.792938, -1110.012329
579.663330, 350.301636, -1167.570068
438.948669, 378.179413, -1209.953857
339.535492, 387.269928, -1206.617432
190.506485, 397.972900, -1199.399170
74.861511, 404.722046, -1190.878174
-55.182297, 407.811035, -1160.765259
-167.358566, 405.707275, -1090.037476
-266.776459, 401.518127, -997.689392
-301.623108, 392.940918, -904.332520
-291.139191, 384.798798, -822.064758
-242.797104, 376.579803, -716.588745
-173.559799, 360.383026, -644.875610
-41.792824, 334.457520, -580.282104
86.613327, 321.469360, -548.444519
233.517502, 310.407928, -520.794373
380.142914, 291.885620, -490.985840
494.161865, 283.168579, -468.460907
624.270874, 273.221436, -442.757355
754.923035, 260.828308, -417.489014
876.732910, 216.822296, -386.639618
991.348938, 159.592773, -349.919525
1102.927612, 110.760780, -297.060791
1195.056519, 103.392967, -259.293823
1299.646362, 110.743683, -208.507416
1397.013306, 124.386818, -191.388184
1469.526123, 160.706238, -134.032684
1520.713623, 240.197891, -17.458641
1566.531006, 308.644684, 85.969315
1667.746826, 341.241180, 130.433929
1805.016479, 397.251251, 127.333237
1898.733398, 424.226654, 63.774513
1992.956543, 455.547546, -22.731766
2061.302979, 485.451599, -152.685959
